scenario,year,analytic_n,mean_los,median_los,mean_drg_weight,aggregate_caei,mean_episode_caei,median_episode_caei,q1_episode_caei,q3_episode_caei,spain_oecd_alos,gap_days,gap_percent
main_specialty_proxy_complete_los,2019,15739,10.9259,6.0,2.0983,5.2069,6.45,3.2983,1.6688,7.608,9.1,1.8259,20.0643
main_specialty_proxy_complete_los,2020,11190,12.2122,8.0,2.3165,5.2719,6.8243,3.9769,1.9255,8.4155,8.6,3.6122,42.0028
main_specialty_proxy_complete_los,2021,12763,13.4521,8.0,2.3429,5.7416,7.3481,4.2708,2.0315,9.1296,8.5,4.9521,58.2599
main_specialty_proxy_complete_los,2022,14580,14.1131,8.0,2.3244,6.0716,7.7264,4.2636,1.9885,9.122,8.9,5.2131,58.5742
los_le_60_days,2019,15539,9.8643,6.0,2.0658,4.7752,6.1416,3.2062,1.6492,7.4195,9.1,0.7643,8.3994
los_le_60_days,2020,10989,10.8462,7.0,2.2513,4.8178,6.4843,3.9083,1.8816,8.1268,8.6,2.2462,26.1187
los_le_60_days,2021,12478,11.6616,8.0,2.2818,5.1107,6.7856,4.1617,1.9885,8.5706,8.5,3.1616,37.1949
los_le_60_days,2022,14261,11.803,8.0,2.2759,5.1861,6.8661,4.1395,1.9537,8.5706,8.9,2.903,32.6175
primary_diagnosis_I00_I99,2019,10051,10.2895,6.0,2.2216,4.6316,5.6264,3.1213,1.7268,6.4061,9.1,1.1895,13.0717
primary_diagnosis_I00_I99,2020,6494,12.0234,8.0,2.5107,4.7888,6.2776,3.8497,2.0808,7.421,8.6,3.4234,39.807
primary_diagnosis_I00_I99,2021,7591,13.1192,9.0,2.5765,5.092,6.4844,3.9479,2.0227,7.8154,8.5,4.6192,54.3438
primary_diagnosis_I00_I99,2022,8615,13.9259,9.0,2.6129,5.3296,6.7963,3.9075,1.9898,7.6266,8.9,5.0259,56.4713
any_diagnosis_I00_I99,2019,14857,11.0551,6.0,2.1061,5.249,6.4881,3.3625,1.7268,7.608,9.1,1.9551,21.4842
any_diagnosis_I00_I99,2020,10445,12.4727,8.0,2.3238,5.3674,6.9663,4.1617,2.0333,8.5427,8.6,3.8727,45.031
any_diagnosis_I00_I99,2021,12067,13.775,9.0,2.3509,5.8596,7.4798,4.3794,2.0963,9.2227,8.5,5.275,62.0589
any_diagnosis_I00_I99,2022,13834,14.4524,9.0,2.3362,6.1862,7.8674,4.2966,2.0227,9.2109,8.9,5.5524,62.3861
