COD_HOSPITAL,year,n_cases,total_bed_days,mean_los,mean_drg_weight,complexity_weighted_cases,total_transfers,aggregate_caei,episode_caei_mean
101100,2019,136,1463.0,10.757352941176471,1.238808823529412,168.478,21,8.683626348840798,8.250524778884074
101100,2020,143,1346.0,9.412587412587413,1.361974125874126,194.7623,35,6.910988420243548,7.26102885716046
101100,2021,157,1481.0,9.433121019108281,1.4258668789808917,223.8611,19,6.615709473419009,6.57781302145448
101100,2022,335,3136.0,9.361194029850747,1.273339104477612,426.5686,62,7.3516897399386645,7.858315513134351
102100,2019,151,2259.0,14.960264900662251,1.337956953642384,202.0315,54,11.181424678824836,12.642030375288607
102100,2020,160,2301.0,14.38125,1.269021875,203.0435,42,11.332546966536727,12.941188195671824
102100,2021,168,3382.0,20.13095238095238,1.3834315476190477,232.4165,114,14.551462568277207,15.140370847598351
102100,2022,190,3320.0,17.473684210526315,1.5135089473684211,287.5667,127,11.545147612710371,13.142211244362386
103100,2019,445,7424.0,16.68314606741573,2.271485168539326,1010.8109,235,7.344598282428494,9.612785158374944
103100,2020,212,3499.0,16.504716981132077,3.3005202830188676,699.7103,199,5.000640979559685,5.988415665727654
103100,2021,271,4557.0,16.81549815498155,3.4588649446494464,937.3524,345,4.861565404857341,4.982503250411692
103100,2022,236,3773.0,15.98728813559322,3.3828656779661017,798.3563,319,4.725960075720577,4.902375461440743
104100,2019,16,310.0,19.375,1.3505812499999998,21.609299999999998,8,14.345675241678354,19.412017273924306
104100,2020,20,218.0,10.9,1.19739,23.9478,16,9.103132646840212,14.01597194852329
104100,2021,13,133.0,10.23076923076923,1.4166076923076925,18.4159,2,7.222020102194298,7.799419632394149
105100,2019,48,854.0,17.791666666666668,1.8081020833333332,86.7889,20,9.83996801434285,14.007970565405406
105100,2020,89,1451.0,16.303370786516854,1.689079775280899,150.3281,25,9.652220709235332,11.191161540390498
105100,2021,151,2762.0,18.29139072847682,1.6703344370860929,252.22050000000002,60,10.950735566696599,12.208087663233474
105100,2022,262,5834.0,22.267175572519083,1.6931164122137403,443.5965,73,13.151591592810133,15.786660410486055
105101,2019,102,692.0,6.784313725490196,1.5086872549019608,153.8861,39,4.496832397467998,4.911517374127494
105101,2020,45,481.0,10.688888888888888,1.9399133333333332,87.2961,25,5.5099826910938745,5.395283092754414
105101,2021,111,1157.0,10.423423423423424,1.8738855855855854,208.0013,79,5.562465234592285,5.459012197617745
105101,2022,132,1356.0,10.272727272727273,1.6595469696969696,219.06019999999998,64,6.190079256752254,6.548502802442487
105102,2019,31,421.0,13.580645161290322,1.2261193548387097,38.0097,1,11.076120043041644,14.438609222206583
105102,2020,27,185.0,6.851851851851852,1.5675074074074073,42.3227,3,4.371176697138888,4.849415351683992
105102,2021,55,888.0,16.145454545454545,1.3245345454545454,72.8494,40,12.189530730520772,15.056920162823111
105102,2022,70,1203.0,17.185714285714287,1.5054228571428572,105.3796,25,11.41587176265615,13.454008859353554
106102,2019,623,7702.0,12.362760834670947,1.4684157303370786,914.823,311,8.419114954477534,9.864841287692537
106102,2020,441,5222.0,11.841269841269842,1.641051700680272,723.7038,254,7.215659224119039,8.14992540315271
106102,2021,531,5924.0,11.156308851224106,1.5629564971751413,829.9299,165,7.1379522535578,8.305025164517366
106102,2022,514,7498.0,14.587548638132295,1.595659727626459,820.1691,214,9.142017176701732,10.596549910961357
107100,2019,1466,14395.0,9.819236016371077,2.751113574351978,4033.1325,1214,3.569185986327005,4.349475331741908
107100,2020,1230,14171.0,11.521138211382114,2.6703656097560975,3284.5497,1095,4.314442250637888,5.124834354293881
107100,2021,1344,16499.0,12.276041666666666,2.8552758184523808,3837.4907,1231,4.299424100232999,5.120197279133177
107100,2022,1480,21599.0,14.593918918918918,2.6900879054054054,3981.3301,1322,5.425071385062997,5.661378224514943
107101,2019,49,512.0,10.448979591836734,1.0462938775510204,51.2684,3,9.986658448478984,10.47012428617483
107101,2020,33,341.0,10.333333333333334,1.2392939393939395,40.8967,9,8.338081067665605,10.745921748135148
107101,2021,21,360.0,17.142857142857142,1.6832571428571428,35.3484,5,10.184336490477646,10.384381579340632
107102,2019,242,3459.0,14.293388429752065,1.2415202479338843,300.4479,50,11.512811372620677,11.926184463698451
107102,2020,155,2282.0,14.72258064516129,1.2085716129032258,187.3286,37,12.18180245835393,12.95295597959449
107102,2021,122,2070.0,16.9672131147541,1.1467147540983607,139.8992,42,14.796367670437,15.554328791381595
107102,2022,153,4137.0,27.03921568627451,1.4913830065359477,228.1816,74,18.130296220203558,17.257091241632985
109100,2019,627,7698.0,12.277511961722489,1.2458108452950558,781.1234000000001,219,9.855036989034,10.637218956802055
109100,2020,530,6518.0,12.29811320754717,1.2808135849056603,678.8312,183,9.601797913826,11.581835380351372
109100,2021,506,7405.0,14.634387351778656,1.4603284584980236,738.9262,292,10.021298473379344,11.328189244847842
109100,2022,644,9833.0,15.26863354037267,1.5839754658385092,1020.0802,310,9.639438153980443,10.86424661758092
109101,2019,256,3638.0,14.2109375,5.058983984375,1295.0999,377,2.8090497111458355,2.756593646883576
109101,2020,263,4257.0,16.186311787072242,5.47520608365019,1439.9792,405,2.9562927020056957,2.6092361127462826
109101,2021,251,3561.0,14.187250996015937,4.908022709163347,1231.9137,339,2.8906245624186178,2.6051200614526064
109101,2022,203,2492.0,12.275862068965518,5.264802955665025,1068.755,211,2.331684997964922,2.358908561686215
110100,2019,465,8254.0,17.7505376344086,2.4901208602150535,1157.9062,567,7.1283839744531985,9.460914763742297
110100,2020,289,4111.0,14.22491349480969,3.2488290657439447,938.9116,385,4.378473969221384,5.377849682260832
